COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Vietnam,Bắc Kạn,2015,19,1202.12,62.9,105.85,22.35,150
Vietnam,Bắc Kạn,2016,21,1323.45,63.3,105.85,22.35,150
Vietnam,Bắc Kạn,2017,21,1444.79,63.6,105.85,22.35,150
Vietnam,Bắc Kạn,2018,21,1566.12,64.2,105.85,22.35,150
Vietnam,Bắc Kạn,2019,20,1657.79,65,105.85,22.35,150
Vietnam,Bắc Kạn,2020,21,1770.95,67,105.85,22.35,150
Vietnam,Bắc Kạn,2021,20,1835.25,67.2,105.85,22.35,150
Vietnam,Bắc Kạn,2022,21,2019.81,67.6,105.85,22.35,150
Vietnam,Bắc Kạn,2023,20,2172.79,67.9,105.85,22.35,150
Vietnam,Bắc Kạn,2024,19,2294.12,68.1,105.85,22.35,150
Vietnam,Bình Dương,2015,29.57,5485.01,768,106.72,20.91,17
Vietnam,Bình Dương,2016,28.99,5687.47,793.7,106.72,20.91,17
Vietnam,Bình Dương,2017,28.31,5889.92,827.5,106.72,20.91,17
Vietnam,Bình Dương,2018,28.12,6092.37,852.9,106.72,20.91,17
Vietnam,Bình Dương,2019,29.63,6394.73,912,106.72,20.91,17
Vietnam,Bình Dương,2020,30.02,6484.73,964,106.72,20.91,17
Vietnam,Bình Dương,2021,30.11,6796.26,1025,106.72,20.91,17
Vietnam,Bình Dương,2022,30.2,7025.85,1047,106.72,20.91,17
Vietnam,Bình Dương,2023,30.29,7104.63,1065,106.72,20.91,17
Vietnam,Bình Dương,2024,30.38,7307.08,1073,106.72,20.91,17
Vietnam,Can Tho,2015,30.1,2408.38,857.8,105.75,10.05,3
Vietnam,Can Tho,2016,30.32,2605.49,843.9,105.75,10.05,3
Vietnam,Can Tho,2017,30.1,2802.61,849.5,105.75,10.05,3
Vietnam,Can Tho,2018,29.03,2999.73,853.2,105.75,10.05,3
Vietnam,Can Tho,2019,29.47,3153.98,862,105.75,10.05,3
Vietnam,Can Tho,2020,29.5,3119.56,866,105.75,10.05,3
Vietnam,Can Tho,2021,29.38,3190.88,869,105.75,10.05,3
Vietnam,Can Tho,2022,29.26,3725.63,869,105.75,10.05,3
Vietnam,Can Tho,2023,29.14,3985.32,874,105.75,10.05,3
Vietnam,Can Tho,2024,29.02,4182.44,882.9,105.75,10.05,3
Vietnam,Cao Bằng,2015,23,1126.96,77.9,106.27,22.67,197
Vietnam,Cao Bằng,2016,23.1,1202.6,78.2,106.27,22.67,197
Vietnam,Cao Bằng,2017,22.6,1278.23,78.6,106.27,22.67,197
Vietnam,Cao Bằng,2018,23.04,1353.86,78.9,106.27,22.67,197
Vietnam,Cao Bằng,2019,22.6,1427.32,79,106.27,22.67,197
Vietnam,Cao Bằng,2020,22.7,1542.55,81,106.27,22.67,197
Vietnam,Cao Bằng,2021,22.9,1545.78,81,106.27,22.67,197
Vietnam,Cao Bằng,2022,23.09,1663,81,106.27,22.67,197
Vietnam,Cao Bằng,2023,23.1,1732.02,82,106.27,22.67,197
Vietnam,Cao Bằng,2024,23.11,1807.65,83,106.27,22.67,197
Vietnam,Đà Nẵng,2015,26.7,3722.79,621,108.22,16.05,11
Vietnam,Đà Nẵng,2016,26.6,3823.92,640.9,108.22,16.05,11
Vietnam,Đà Nẵng,2017,26.5,3925.05,659.5,108.22,16.05,11
Vietnam,Đà Nẵng,2018,26.5,4026.18,679.4,108.22,16.05,11
Vietnam,Đà Nẵng,2019,27.25,4225.55,699,108.22,16.05,11
Vietnam,Đà Nẵng,2020,26.8,3826.21,713,108.22,16.05,11
Vietnam,Đà Nẵng,2021,26.7,3903.32,730,108.22,16.05,11
Vietnam,Đà Nẵng,2022,26.35,4421.77,744,108.22,16.05,11
Vietnam,Đà Nẵng,2023,26,4531.83,757,108.22,16.05,11
Vietnam,Đà Nẵng,2024,27.18,4632.96,767,108.22,16.05,11
Vietnam,Gia Lai,2015,23.84,1253.5,91.8,108.21,13.8,657
Vietnam,Gia Lai,2016,24.16,1415.26,93.3,108.21,13.8,657
Vietnam,Gia Lai,2017,23.16,1577.02,94.7,108.21,13.8,657
Vietnam,Gia Lai,2018,23,1738.78,96.4,108.21,13.8,657
Vietnam,Gia Lai,2019,24.39,1748.35,98,108.21,13.8,657
Vietnam,Gia Lai,2020,25.81,1835.54,99,108.21,13.8,657
Vietnam,Gia Lai,2021,26.2,2081.19,101,108.21,13.8,657
Vietnam,Gia Lai,2022,26.6,2324.76,103,108.21,13.8,657
Vietnam,Gia Lai,2023,26.99,2547.58,104.1,108.21,13.8,657
Vietnam,Gia Lai,2024,27.39,2709.34,105.4,108.21,13.8,657
Vietnam,Hải Dương,2015,24,1915.94,1094.7,106.31,20.93,8
Vietnam,Hải Dương,2016,23,2179.86,1098.6,106.31,20.93,8
Vietnam,Hải Dương,2017,24,2443.79,1125.6,106.31,20.93,8
Vietnam,Hải Dương,2018,23,2707.72,1125.9,106.31,20.93,8
Vietnam,Hải Dương,2019,24,2898.02,1149.4,106.31,20.93,8
Vietnam,Hải Dương,2020,24,2947.21,1149.9,106.31,20.93,8
Vietnam,Hải Dương,2021,23,3337.68,1174.9,106.31,20.93,8
Vietnam,Hải Dương,2022,23.5,3768.61,1210,106.31,20.93,8
Vietnam,Hải Dương,2023,24,4027.36,1228,106.31,20.93,8
Vietnam,Hải Dương,2024,24.5,4291.29,1239.8,106.31,20.93,8
Vietnam,Hải Phòng,2015,25.2,2650.98,1289.4,106.69,20.88,12
Vietnam,Hải Phòng,2016,24.9,3307,1297.1,106.69,20.88,12
Vietnam,Hải Phòng,2017,24.8,3963.03,1281.5,106.69,20.88,12
Vietnam,Hải Phòng,2018,25.27,4619.05,1291.1,106.69,20.88,12
Vietnam,Hải Phòng,2019,25.4,5301.46,1301.9,106.69,20.88,12
Vietnam,Hải Phòng,2020,25.1,5769.47,1315,106.69,20.88,12
Vietnam,Hải Phòng,2021,25,6524.24,1350,106.69,20.88,12
Vietnam,Hải Phòng,2022,25.37,7373.92,1368,106.69,20.88,12
Vietnam,Hải Phòng,2023,25.4,7899.17,1379,106.69,20.88,12
Vietnam,Hải Phòng,2024,25.42,8555.19,1391.9,106.69,20.88,12
Vietnam,Ha Noi,2015,25.3,4109.08,2236,105.85,21.03,10
Vietnam,Ha Noi,2016,25.2,4385.26,2259.9,105.85,21.03,10
Vietnam,Ha Noi,2017,25.1,4661.43,2305.2,105.85,21.03,10
Vietnam,Ha Noi,2018,25.1,4937.61,2356.5,105.85,21.03,10
Vietnam,Ha Noi,2019,25.91,5219.03,2410.4,105.85,21.03,10
Vietnam,Ha Noi,2020,25.3,5317.05,2480,105.85,21.03,10
Vietnam,Ha Noi,2021,25.31,5539.78,2498,105.85,21.03,10
Vietnam,Ha Noi,2022,24.96,6063.29,2509,105.85,21.03,10
Vietnam,Ha Noi,2023,25.8,6318.49,2521,105.85,21.03,10
Vietnam,Ha Noi,2024,25.88,6594.67,2540,105.85,21.03,10
Vietnam,Hau Giang,2015,33.06,1960,463.3,105.68,9.78,3
Vietnam,Hau Giang,2016,32.05,2108.44,456.3,105.68,9.78,3
Vietnam,Hau Giang,2017,31.08,2219.03,453.6,105.68,9.78,3
Vietnam,Hau Giang,2018,30.53,2348.9,451,105.68,9.78,3
Vietnam,Hau Giang,2019,31.01,2909.17,450.1,105.68,9.78,3
Vietnam,Hau Giang,2020,30.98,3451.42,450,105.68,9.78,3
Vietnam,Hau Giang,2021,30.56,3749.7,450,105.68,9.78,3
Vietnam,Hau Giang,2022,30.15,4047.99,448,105.68,9.78,3
Vietnam,Hau Giang,2023,29.73,4346.27,449,105.68,9.78,3
Vietnam,Hau Giang,2024,29.32,4644.56,450,105.68,9.78,3
Vietnam,Hồ Chí Minh city,2015,28.5,5522.53,3964.6,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2016,28.2,5728.7,4118.1,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2017,28.1,5934.87,4289.9,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2018,28.2,6141.04,4489.3,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2019,28.6,6451.13,4685,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2020,28.6,6402.86,4766,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2021,28.2,6304.03,4890,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2022,28.3,6853.96,5140,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2023,28.7,7171.89,5390,106.63,10.82,7
Vietnam,Hồ Chí Minh city,2024,28.72,7378.06,5599,106.63,10.82,7
Vietnam,Kon Tum,2015,25.4,1182.62,51.2,107.99,14.36,543
Vietnam,Kon Tum,2016,24.93,1345.89,52.5,107.99,14.36,543
Vietnam,Kon Tum,2017,25.17,1509.15,53.8,107.99,14.36,543
Vietnam,Kon Tum,2018,24,1672.41,55,107.99,14.36,543
Vietnam,Kon Tum,2019,26.03,1748.35,56,107.99,14.36,543
Vietnam,Kon Tum,2020,26.33,1852.78,57,107.99,14.36,543
Vietnam,Kon Tum,2021,26.52,2059.61,59,107.99,14.36,543
Vietnam,Kon Tum,2022,26.7,2286.09,60,107.99,14.36,543
